id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
37295,Female,77,1,28.0,0,1-2 Year,Yes,58876.0,122.0,56,0
7185405,Female,42,1,39.0,0,1-2 Year,Yes,29238.0,26.0,282,1
9884048,Male,25,1,28.0,0,< 1 Year,No,45944.0,152.0,106,0
5891021,Female,61,1,28.0,0,1-2 Year,No,2630.0,124.0,98,0
9600579,Female,22,1,18.0,1,< 1 Year,No,30643.0,152.0,190,0
4752122,Female,37,1,46.0,1,1-2 Year,No,2630.0,124.0,162,0
10541877,Male,54,1,41.0,1,1-2 Year,No,44220.0,52.0,16,0
2012887,Female,66,1,14.0,0,> 2 Years,Yes,28439.0,124.0,282,0
1519910,Male,43,1,17.0,1,1-2 Year,No,39249.0,124.0,43,0
8263724,Female,24,1,6.0,0,< 1 Year,Yes,19196.0,152.0,163,1
11503143,Female,58,1,28.0,0,1-2 Year,Yes,35224.0,61.0,143,1
5323473,Female,25,1,27.0,1,< 1 Year,No,24680.0,152.0,80,0
4507604,Female,51,1,28.0,1,1-2 Year,No,58841.0,26.0,143,0
10349418,Male,35,1,41.0,1,1-2 Year,Yes,2630.0,156.0,228,0
5198060,Male,63,1,8.0,0,1-2 Year,Yes,46753.0,124.0,134,0
6057136,Female,27,1,41.0,1,< 1 Year,No,37485.0,152.0,96,0
6521036,Female,40,1,41.0,0,1-2 Year,Yes,33841.0,31.0,217,0
6314869,Male,51,1,3.0,0,1-2 Year,Yes,2630.0,26.0,73,0
2468311,Male,26,1,8.0,1,< 1 Year,No,34966.0,152.0,216,0
9470969,Female,23,1,3.0,1,< 1 Year,No,28393.0,152.0,130,0
1060425,Male,59,1,28.0,0,1-2 Year,Yes,53851.0,124.0,76,1
8907044,Male,47,1,28.0,0,> 2 Years,Yes,43913.0,26.0,197,1
6669296,Male,38,1,28.0,0,1-2 Year,Yes,48625.0,124.0,189,1
7286742,Female,45,1,28.0,1,1-2 Year,No,50323.0,26.0,246,0
7848682,Female,71,1,50.0,0,1-2 Year,Yes,29900.0,8.0,73,0
10849233,Female,24,1,37.0,0,< 1 Year,Yes,38104.0,152.0,221,0
1962725,Female,28,1,40.0,1,< 1 Year,No,2630.0,152.0,231,0
5274368,Female,45,1,28.0,1,1-2 Year,Yes,32135.0,152.0,162,0
