Driving_License,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,Age_group
1,0,1,1,58876.0,122.0,56,0,4
1,0,1,1,29238.0,26.0,282,1,2
1,0,0,0,45944.0,152.0,106,0,2
1,0,1,0,2630.0,124.0,98,0,3
1,1,0,0,30643.0,152.0,190,0,1
1,1,1,0,2630.0,124.0,162,0,2
1,1,1,0,44220.0,52.0,16,0,3
1,0,2,1,28439.0,124.0,282,0,3
1,1,1,0,39249.0,124.0,43,0,2
1,0,0,1,19196.0,152.0,163,1,1
1,0,1,1,35224.0,61.0,143,1,3
1,1,0,0,24680.0,152.0,80,0,2
1,1,1,0,58841.0,26.0,143,0,3
1,1,1,1,2630.0,156.0,228,0,2
1,0,1,1,46753.0,124.0,134,0,3
1,1,0,0,37485.0,152.0,96,0,2
1,0,1,1,33841.0,31.0,217,0,2
1,0,1,1,2630.0,26.0,73,0,3
1,1,0,0,34966.0,152.0,216,0,2
1,1,0,0,28393.0,152.0,130,0,1
1,0,1,1,53851.0,124.0,76,1,3
1,0,2,1,43913.0,26.0,197,1,2
1,0,1,1,48625.0,124.0,189,1,2
1,1,1,0,50323.0,26.0,246,0,2
1,0,1,1,29900.0,8.0,73,0,3
1,0,0,1,38104.0,152.0,221,0,1
1,1,0,0,2630.0,152.0,231,0,2
1,1,1,1,32135.0,152.0,162,0,2
1,1,0,0,37751.0,152.0,223,0,1
1,1,0,0,33644.0,152.0,228,0,1
1,0,1,1,31656.0,26.0,284,0,3
1,1,0,0,28015.0,152.0,94,0,2
1,0,0,1,27107.0,160.0,246,0,1
1,0,1,1,2630.0,156.0,40,0,3
1,1,0,0,58521.0,152.0,172,0,2
1,1,1,0,41142.0,124.0,285,0,2
1,1,0,0,29601.0,152.0,260,0,1
1,0,1,1,47375.0,55.0,110,1,2
1,1,0,0,32907.0,152.0,147,0,2
1,1,1,0,2630.0,124.0,236,0,3
1,0,1,1,39115.0,124.0,30,0,2
1,1,0,0,61270.0,152.0,145,0,1
1,0,1,1,32307.0,122.0,212,0,2
1,1,1,1,28775.0,35.0,228,0,2
1,0,1,1,33292.0,124.0,187,0,2
